category,parameter,default,description,how_to_tune
Run,"task_name","anomaly_detect","Name of the W&B run shown in the UI","task_name=NV_org_v1"
Run,"tags","[anomaly, dev]","Labels attached to the W&B run for filtering/grouping","tags=[NV_organization,baseline]"
Run,"seed",42,"Global random seed for reproducibility","seed=123"
Run,"lift_percentiles","[0.5,1,2,3,5,10]","Percentiles used for lift@K evaluation metrics","lift_percentiles=[1,2,5,10]"
Run,"optimized_metric","lift_top_2pct","Metric returned to Hydra sweeper for hyperparameter optimization","optimized_metric=lift_top_1pct"
Data,"provider_month_csv","??? (required)","Path to provider-month CSV produced by run_provider_month.sh","data.provider_month_csv=data/outputs/provider_month_NV_organization.csv"
Data,"provider_level_csv","null","Path to existing provider_level CSV to skip recomputation. null = compute fresh next to provider_month_csv","data.provider_level_csv=data/outputs/provider_level_NV_organization.csv"
Data,"min_months",6,"Minimum months a provider must be observed to be included. Providers below this get insufficient_history_flag=1 and are filtered out","data.min_months=12"
Data,"date_cutoff","2024-12-31","Drop all provider-month rows after this date before building features","data.date_cutoff=2023-12-31"
Data,"no_filter",false,"If true, keep providers with insufficient history (ignore min_months filter)","data.no_filter=true"
Data,"nan_drop_threshold",0.05,"Feature columns with more than this fraction of NaN values are dropped. Then rows with any remaining NaN are dropped","data.nan_drop_threshold=0.1"
Data,"feature_selection.auroc_threshold",0.65,"Keep only features with univariate AUROC >= this threshold. Set to null to disable feature selection and use all features","data.feature_selection.auroc_threshold=0.7 or data.feature_selection.auroc_threshold=null"
Data,"scaler","standardize","Scaling applied to features before training. Options: standardize (zero mean unit variance) | minmax (0-1 range) | none","data.scaler=minmax"
Data,"batch_size",64,"Number of providers per training batch","data.batch_size=128"
Data,"num_workers",0,"Number of DataLoader worker processes for parallel data loading. 0 = main process only","data.num_workers=4"
Data,"pin_memory",false,"Pin DataLoader tensors to CPU memory for faster GPU transfer. Set true when using CUDA GPU","data.pin_memory=true"
Feature Engineering,"provider_level_features.pct_growth_prior_floor",10.0,"Minimum prior value for percent-growth features. Pairs where prior < floor are skipped to avoid near-zero blowup","data.provider_level_features.pct_growth_prior_floor=5.0"
Feature Engineering,"provider_level_features.rolling_flags.window_obs",3,"Number of prior observed months used as the rolling window for robust-z anomaly flags","data.provider_level_features.rolling_flags.window_obs=6"
Feature Engineering,"provider_level_features.rolling_flags.robust_z_threshold",2.5,"A month is flagged if its robust-z score exceeds this threshold","data.provider_level_features.rolling_flags.robust_z_threshold=3.0"
Feature Engineering,"provider_level_features.rolling_flags.last_k_observed",6,"Count of flagged months is computed over the last k observed months for recency-weighted features","data.provider_level_features.rolling_flags.last_k_observed=3"
Feature Engineering,"provider_level_features.changepoints.penalty",2.0,"PELT changepoint detection penalty. Higher = fewer changepoints detected","data.provider_level_features.changepoints.penalty=5.0"
Feature Engineering,"provider_level_features.changepoints.model","rbf","PELT cost model. Options: rbf | l1 | l2 | normal","data.provider_level_features.changepoints.model=l2"
Feature Engineering,"provider_level_features.changepoints.min_size",3,"Minimum number of observations in a segment for PELT","data.provider_level_features.changepoints.min_size=5"
Feature Engineering,"provider_level_features.changepoints.min_obs",6,"Minimum observations a provider needs for changepoint detection to run","data.provider_level_features.changepoints.min_obs=12"
Splitter,"data.splitter.val_frac",0.1,"Fraction of providers held out for val/loss monitoring and early stopping. Set 0.0 to disable early stopping and train for full max_epochs","data.splitter.val_frac=0.2"
Splitter,"data.splitter.seed",42,"Random seed for val split selection","data.splitter.seed=0"
Autoencoder,"model.net.encoder_dims","[64,32,16]","Hidden layer sizes of the encoder. Decoder mirrors these in reverse. More/larger dims = more capacity","model.net.encoder_dims=[128,64,32]"
Autoencoder,"model.net.bottleneck_dim",8,"Size of the compressed bottleneck representation. Smaller = more compression = stronger anomaly signal","model.net.bottleneck_dim=4"
Autoencoder,"model.net.dropout_rate",0.1,"Dropout probability applied after each encoder/decoder layer. Higher = more regularization","model.net.dropout_rate=0.2"
Autoencoder,"model.net.activation","relu","Activation function used in encoder and decoder. Options: relu | leaky_relu | tanh | selu | gelu","model.net.activation=leaky_relu"
Autoencoder,"model.net.use_batch_norm",true,"Whether to apply batch normalization after each linear layer. Helps training stability","model.net.use_batch_norm=false"
Optimizer,"model.optimizer.lr",0.001,"Adam learning rate. Lower = slower but more stable training","model.optimizer.lr=0.0005"
Optimizer,"model.optimizer.weight_decay",1e-5,"L2 regularization penalty on weights. Higher = stronger regularization","model.optimizer.weight_decay=1e-4"
Trainer,"trainer.max_epochs",50,"Maximum number of training epochs. Training may stop earlier if EarlyStopping triggers","trainer.max_epochs=100"
Trainer,"trainer.min_epochs",1,"Minimum epochs to train regardless of EarlyStopping","trainer.min_epochs=5"
Trainer,"trainer.gradient_clip_val",1.0,"Clip gradients to this max norm. Prevents exploding gradients","trainer.gradient_clip_val=0.5"
Trainer,"trainer.accelerator","auto","Device to train on. auto detects GPU/MPS automatically. Options: auto | cpu | gpu | mps","trainer.accelerator=cpu"
Trainer,"trainer.check_val_every_n_epoch",1,"Run validation every N epochs","trainer.check_val_every_n_epoch=5"
Early Stopping,"callbacks.early_stopping.patience",10,"Stop training if val/loss does not improve for this many epochs","callbacks.early_stopping.patience=15"
Checkpoint,"callbacks.model_checkpoint.save_top_k",1,"Number of best checkpoints to keep. -1 = keep all","callbacks.model_checkpoint.save_top_k=3"
W&B Logger,"logger.project","anomaly-detect","W&B project name. Runs are grouped under this project in the W&B UI","logger.project=medicaid-anomaly"
W&B Logger,"logger.offline",false,"If true, log locally without syncing to W&B cloud","logger.offline=true"
